"ts","value"
28.5425,0.0
237.88,112.00632
343.48,105.593704
542.2,98.93646
640.5,98.30536
738.6,98.10492
837.78,99.17462
938.38,100.60272
1038.34,99.9505
1136.5,98.170654
1241.18,104.67456
1339.8600000000001,98.69153
1438.38,98.504395
1636.8600000000001,99.45166
1742.92,106.06311
1842.02,99.104126
1941.1200000000001,99.086914
2042.28,101.16736
2146.66,104.375
2423.34,98.94922
2522.26,98.921875
2620.98,98.71948
2719.66,98.67383
2818.28,98.62866
2917.86,99.57715
3017.2000000000003,99.336426
3116.14,98.93823
3214.1,97.96948
3312.32,98.20752
3412.16,99.839355
3608.8,98.771484
3707.32,98.515625
3805.66,98.33789
